count,word,category
264021,clay,material
190483,shale,material
187938,sand,material
130578,red,color
88867,sandrock,material
66798,sandstone,material
65688,brown,color
61518,sandy,material
59915,fine,grainsize
44987,gray,color
40738,with,other
38533,watersand,material
37357,medium,grainsize
32012,topsoil,material
24456,rock,material
24399,blue,color
24244,to,other
24185,gravel,material
22590,silty,material
21737,coarse,grainsize
20403,tan,color
18755,lime,material
15054,hard,strength
14160,limestone,material
13281,streaks,other
13277,white,color
12667,redbed,material
11663,surface,material
11249,strips,other
11216,loose,strength
10117,silt,material
10016,light,color
8794,reddish,color
8557,soft,strength
8258,clayey,material
8090,dark,color
7972,broken,strength
7790,caliche,material
7668,soil,material
7590,overburden,material
7533,black,color
7227,yellow,color
7015,gypsum,material
6781,INVALID,other
5429,fairly,other
5386,moist,wetness
5346,,other
5236,layers,other
4871,very,other
4582,siltstone,material
4580,small,grainsize
4459,dry,wetness
4353,mix,other
4314,some,other
4050,water,wetness
3966,tight,strength
3878,firm,strength
3531,of,other
3478,flint,material
3235,shaley,material
3176,shell,material
3157,loam,material
3030,subsoil,material
2965,weathered,strength
2802,little,grainsize
2744,stringers,other
2687,concrete,material
2663,stiff,strength
2662,lean,grainsize
2562,wet,wetness
2412,green,color
2409,large,grainsize
2258,gpm,wetness
2194,lenses,other
2142,r,other
1938,fill,material
1874,slightly,other
1865,few,other
1806,no,other
1500,unknown,other
1498,clean,other
1460,mixed,other
1453,orange,color
1357,strip,other
1313,f,other
1303,pink,color
1293,clays,material
1273,s,other
1261,dirt,material
1210,sands,material
1178,grained,other
1119,thin,other
1096,sl,other
1076,b,other
1069,quicksand,material
1063,asphalt,material
1022,odor,other
1011,granite,material
976,well,other
956,dirty,other
891,w,other
890,blow,strength
886,20,other
874,grain,other
861,sticky,wetness
858,fractured,strength
850,dolomite,material
811,cemented,strength
784,damp,wetness
773,at,other
762,fat,grainsize
742,recovery,other
719,coal,material
716,chert,material
715,trace,other
714,cement,material
705,refusal,other
701,crystallized,strength
685,good,other
673,top,other
668,40,other
649,minor,other
649,brownish,color
645,in,other
645,layer,other
641,depth,other
630,seams,other
624,claystone,material
614,probe,other
610,bentonite,material
609,chips,material
602,rush,other
602,solid,strength
599,stone,material
598,total,other
582,sr,other
574,materials,other
573,interbedded,other
570,springs,other
556,rc,other
534,mod,other
523,plasticity,strength
521,redbeds,material
501,moisture,wetness
497,rocks,material
496,purple,color
493,cl,other
490,10,other
486,shales,material
483,@,other
481,poorly,other
480,graded,grainsize
471,occasional,other
471,grayish,color
468,yellowish,color
448,gravelly,material
442,olive,color
434,streak,other
434,conglomerate,material
433,gold,color
423,plastic,strength
422,size,other
421,ledges,other
420,x,other
415,5,other
405,beadie,other
396,ws,other
386,1,other
383,2,other
379,dense,strength
353,pea,grainsize
340,15,other
331,or,other
329,plug,other
314,saturated,wetness
314,waterbearing,wetness
312,3,other
305,iron,material
304,chalk,material
303,material,other
302,couple,other
